 tare: -8388608 raw counts (from 10/10 samples)
WiFi connecting.... connectedWiFi IP: 192.168.4.101
Initializing micro-ROS...
Pinging agent at 192.168.4.100:8888 ...
Waiting for micro-ROS agent Agent found after 0 pings!
Node created
Loadcell publisher created on topic: loadcell_data
micro-ROS connected
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
  max11270_readAdcRaw: raw24=0x000000 offset=-8388608
